,index,Ticker,Rating
0,0,IFRX,0.6943708633013562
1,1,TYDE,0.668012340663644
2,2,AMC,0.6072151052448949
3,3,FFIE,0.5482563944448773
4,4,BBAI,0.5209931306413305
5,5,XELA,0.5129468955041835
6,6,BNRG,0.5039061914256846
7,10,GOEV,0.39314260791984396
8,9,CCL,0.3905421294893392
9,8,NIO,0.3903861373435047
10,11,TELL,0.3880839990618009
11,12,SPCE,0.3880527265093845
12,126,OCEA,0.3874546733777129
13,452,LNZA,0.3874546733777129
14,354,LSDI,0.3874546733777129
15,405,LCFY,0.38744287544189604
16,61,PBLA,0.3874427156289626
17,245,PHCF,0.3874419057595867
18,152,NXTP,0.3874395108232861
19,176,QH,0.3874377406249311
20,481,MYSZ,0.3874377406249311
21,254,PIXY,0.38743757936061884
22,448,LMNL,0.38743677303905777
23,247,PHIO,0.3874364505104334
24,277,PFIN,0.38743532166024797
25,98,NUWE,0.38743532166024797
26,144,OBLG,0.3874349991316235
27,477,NAOV,0.387432257638316
28,364,MCVT,0.3874317738453793
29,360,MDJH,0.3874311287881306
30,49,PALI,0.38743016120225726
31,499,MTC,0.38742967740932066
32,367,MDIA,0.3874295161450084
33,426,KTRA,0.38742919361638406
34,491,NBY,0.38742870982344746
35,390,MARPS,0.38742870982344746
36,366,MDGS,0.387428387294823
37,153,NYC,0.3874274197089498
38,353,LSBK,0.3874251620085788
39,101,NVIV,0.38742387189408123
40,130,OCS,0.38742387189408123
41,136,OGEN,0.387423710629769
42,53,PATI,0.38742258177958355
43,34,ONCS,0.38742161419371024
44,194,PTPI,0.3874209691364614
45,274,PETZ,0.38742032407921256
46,296,PRSR,0.38741935649333936
47,275,PEV,0.3874182276431539
48,86,NTZ,0.38741403477103653
49,327,LUCY,0.3874138735067243
50,252,PIK,0.3874116158063534
51,223,RAYA,0.3874111320134168
52,221,RBKB,0.38740951937029466
53,310,PNBK,0.38740903557735806
54,489,NBRV,0.3874087130487337
55,22,OPGN,0.38740806799148486
56,430,KWE,0.38740758419854815
57,38,ONFO,0.3874050039695529
58,412,LEDS,0.38740339132643076
59,358,LXEH,0.38740097236174764
60,198,PULM,0.3874006498331233
61,180,PW,0.38740000477587444
62,73,OSI,0.3873971020182547
63,47,PAVS,0.3873966182253181
64,461,LGL,0.38739436052494713
65,185,PSHG,0.3873917802959519
66,424,KSPN,0.387390328917142
67,337,LWAY,0.3873875874238344
68,100,NVFY,0.38738742615952226
69,92,NTRB,0.38738726489521
70,178,QLGN,0.38738726489521
71,306,PMD,0.3873866198379612
72,202,QNRX,0.3873851684591513
73,415,LEXX,0.38738500719483915
74,375,MEDS,0.38738500719483915
75,483,NAII,0.3873838783446537
76,148,NXGL,0.3873824269658438
77,66,OXBR,0.3873792016795996
78,328,LUMO,0.3873777503007898
79,329,LUXH,0.3873769439792287
80,169,PXS,0.3873769439792287
81,125,OCC,0.3873735574286724
82,70,OSA,0.3873730736357357
83,190,PT,0.38737194478555026
84,89,NSTS,0.38737178352123813
85,20,OPHC,0.3873712997283014
86,75,OST,0.387369364556555
87,464,LGVN,0.3873692032922428
88,486,NCRA,0.38736904202793054
89,387,MAIA,0.38736710685618403
90,149,NXL,0.3873646878915009
91,385,LYT,0.3873632365126911
92,326,LUCD,0.3873632365126911
93,456,LIPO,0.3873621076625057
94,286,PRFX,0.38735920490488585
95,32,OMQS,0.3873588823762615
96,59,PBFS,0.3873548507684563
97,479,MYO,0.3873543669755196
98,26,OPAL,0.3873509804249633
99,120,NRBO,0.38735081916065106
100,273,PETV,0.38735081916065106
101,118,NPCE,0.38735065789633893
102,356,LSF,0.387349206517529
103,183,PTE,0.387349206517529
104,341,LSTA,0.38734791640303134
105,451,LNSR,0.387347593874407
106,335,LVTX,0.38734694881715814
107,466,LICN,0.38734646502422143
108,262,PEGY,0.3873463037599093
109,338,LTRN,0.38734469111678715
110,104,NRSN,0.3873440460595383
